Body,Date,Feedbacks,HelpfulFeedbacks,MemberID,ProductID,Rating,RealName,ReviewID,ReviewOrder,Title_x,Verified,Label,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Apple may be selling you a used ipod.  I found out today that the ipod I paid $299.00 for was actually refurbished.  It had been repackaged, presented and sold to me as a new ipod.   This company has a class action lawsuit against it for this, among other claims. You can view the class action lawsuit by googling ""tell on apple."" Don't get cheated the way I did! And if you do buy an ipod, keep the  receipt.",3/17/2006,12.0,4.0,A2EKCA4XH9M1YC,B0007KX4SS,1.0,0.0,580028.0,18.0,Are you really buying a new ipod or is apple cheating you!,0.0,1,16551,Apple Computer,249.99,Apple 6 GB iPod Mini Green M9807LL/A,Color->Green,Binding->Electronics,EAN->0718908091715,Brand->Apple,"Feature->6 GB model holds up to 1,500 songs; supports MP3, AAC, WAV, MP3 VBR, Audible (6), and AIFF formats",Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9807LL/A,MPN->M9807LL/A,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,Studio->Apple Computer,Title->Apple 6 GB iPod Mini Green M9807LL/A,Feature->Mac and Windows compatible; FireWire and USB 2.0 interface for fastest digital transfer available,Feature->1.67 inch (diagonal) backlit screen displays full song names and more,Feature->Up to 18 hours of battery life,"Feature->Comes with earbud headphones, belt clip, and USB 2.0 cable",ItemDimensions
"Apple is, quite simply, the best and most innovative computer manufacturer. A recent article in Consumer Reports identified Apple computers as the most reliable computers and PC Magazine user surveys have reached the same conclusion. Furthermore, PC Magazine regularly designates the iMac G5 as the best all around desktop computer. Now the ultra-reliable, user friendly iMac G5 has an even faster G5 processor. Yes, most people use Windows-based PCs, but do you really want to be just another member of the PC herd -- with all of the problems and frustrations presented by Windows-based PCs (including regular virus attacks) -- or are you looking for a computer which is user friendly, seldom crashes, and is virtually impervious to viruses? If these virtues are more important to you than being one of the crowd, please seriously consider buying an Apple computer. This new iMac G5 is Apple's latest and fastest iteration of the innovative iMac series of compact, user friendly computers at reasonable prices. Like all G5-powered Apple computers this new iMac is a very fast computer -- more than twice as fast as a Pentium 4 with the same clock speed -- and has a state-of-the-art 64-bit processor. All computers will have 64-bit processors some day but very few PCs, except for Apple G5s, have them at this time. If you're looking for a fast, versatile, easy to use computer, want to stop worrying abut virus attacks, and are willing to try something off the beaten path, you'll love this elegant and now faster new iMac G5.",5/18/2005,36.0,25.0,A1JWSDDIH5Z7DV,B0006PK8IS,5.0,1.0,585600.0,9.0,New faster iMac G5 from Apple,0.0,1,325,Apple Computer,1500.0,"Apple iMac G5 Desktop with 17"" M9844LL/A (2.0 GHz PowerPC G5, 512 MB RAM, 160 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->2,"Feature->17-inch (viewable) widescreen TFT active-matrix LCD, 1440 x 900 pixels, millions of colors","Feature->Two FireWire 400 ports; three USB 2.0 ports, two USB 1.1 ports (on keyboard); VGA output; S-video and composite video output",Feature->Built-in 10/100/1000BASE-T (Gigabit) and 56K V.92 modem,FloppyDiskDriveDescription->None,GraphicsCardInterface->Integrated,GraphicsDescription->ATI Radeon 9600 with AGP 8X support,GraphicsMemorySize->128,HardDiskSize->160,"IncludedSoftware->Mac OS X version 10.4 Tiger, iLife '05 (includes iTunes, iPhoto, iMovie HD, iDVD, GarageBand), Mail, Dashboard, Spotlight, iChat, Safari, Sherlock, QuickTime, iSync, iCal, DVD Player, Address Book, AppleWorks, iWork (30-day trial), Classic environment, Quicken 2005 for Macintosh, 2005 World Book Multimedia Reference Suite, Nanosaur 2, Marble Blast Gold, Microsoft Office 2004 for Mac Test Drive, Zinio Reader, XCode Developer Tools and Apple Hardware Test",ItemDimensions,KeyboardDescription->Apple Keyboard,CPUType->PowerPC G5,DisplaySize->17,EAN->0718908392423,"Feature->2.0 GHz PowerPC G5 running Mac OS X version 10.4 ""Tiger""","Feature->512 MB DDR SDRAM, 160 GB hard drive, and SuperDrive (DVD-RW/CD-RW)"
"After our son out grew his Graco Snug Ride infant car seat. We started to research convertibles car seats. The Britax Marathon's name came up in every online forum as well as writing reviews giving this seat very high ratings. We visited a local store in our area who carried the Britax Marathon as we wanted to see how it would fit our child. We were very pleased that the seat has a growth potential of up to 65 lbs and 49"" in height. This calculates that on average a child can stay in this seat in a five point harness until the approximate age of a five year old.....reassuring. As most seats on the market have five point harnesses that have a weight limit of 40lbs. The Marathon would allow us more long term growth instead of transitioning into a booster early on and bipassing the shoulder/lap belt combination. We shopped online and found that babies r us had a large selection. However the more we researched we found the prices to be considerably lower and made our purchase from [...] They had a great selection as well but the same seat was offered at [...] shipping included. Our seat arrived just a short four days later. The Britax's owners manual was easy to read and the seat installation with the LATCH system was simple to install. However I found it a little more difficult TETHER the seat in the rear facing postion. Once installed the seat was very secure and did not have any movement as compared to the our Graco infant seat. Our son seemed to be so happy from the get go. The harnesess were easy to adjust and we liked the fact that there was excellent side wall protection. I especially liked how soft the fabric is to the skin and the belly pad that adds a little extra comfort to the legs from the belt buckle in case it may get hot from direct sun light. We are very happy with our purchase and highly recommend this seat to all.",5/12/2006,2.0,2.0,A2V72OCGSPIRMY,B0006N2R1G,5.0,0.0,585970.0,9.0,Worth Every Penny!,0.0,1,2947,Britax,269.99,Britax Houndstooth Marathon CV Car Seat,Brand->Britax,BatteriesIncluded->0,EAN->0652182051792,Binding->Baby Product,"Feature->Plush, convertible car seat",Label->Britax,ListPrice,Manufacturer->Britax,ManufacturerMaximumAge->72,MaximumWeightRecommendation->6500,MPN->E9W0658,NumberOfItems->1,PackageDimensions,ProductGroup->Baby Product,Publisher->Britax,Studio->Britax,"Feature->Removable, hand-washable cover features subtly sophisticated houndstooth print",Feature->Rear-facing for infants 5 to 33 lb.; forward facing for toddlers up to 65 lb..,"Feature->Features Latch safe guard system, adjustable 5-point harness system and ""Floating"" HUGS system","Feature->Made in USA; 19-1/2Lx24Wx28H""",ItemDimensions
"After much consideration I chose the Britax Marathon for its safety and features. As I have an older car that does not have latch. I was pleased to see that the Britax Marathon with its built in lock-offs allowed me to secure the seat in place with our cars shoulder lap belt. Although I did have to add a anchor for the tether strap, the seat stayed firmly secured and did not move at all once installed. I was especially pleased with the thought that my child will remain in a five point harness up to 65 lbs. That is comforting knowing that most convertibles go to 40 lbs and then a child is transitioned into a booster that only has a shoulder lap belt combo. I shopped around online and found babies r us to have a good selection but made my purchase at traveling tikes an online store. Their store offered free shipping and no sales tax as mentioned by a parent at babies r us online kids review. I can can now rest assured that I made my purchase with safety and confidence in mind.",2/12/2006,4.0,3.0,A37787I8C184FW,B0006HBRYA,5.0,0.0,588006.0,29.0,Fantastic Car Seat!,0.0,1,315,Britax,269.99,Britax Granite Marathon CV Car Seat,Brand->Britax Child Safety Inc.,BatteriesIncluded->0,EAN->0652182051716,Binding->Baby Product,Feature->For children 5 to 33 lbs. rear facing and from 1 year and 20 to 65 lbs forward facing,Manufacturer->Britax,ManufacturerMaximumAge->48,MaximumWeightRecommendation->6500,MPN->E9L0627,NumberOfItems->1,PackageDimensions,ProductGroup->Baby Product,Publisher->Britax,Studio->Britax,Title->Britax Granite Marathon CV Car Seat,UPC->652182051716,Feature->Four different harness positions are designed to accommodate taller children,Feature->Five-point harness and 2-position seat recline,ItemDimensions,Label->Britax,ListPrice
"After much consideration I chose the Britax Marathon for its safety and features. As I have an older car that does not have latch. I was pleased to see that the Britax Marathon with its built in lock-offs allowed me to secure the seat in place with our cars shoulder lap belt. Although I did have to add a anchor for the tether strap, the seat stayed firmly secured and did not move at all once installed. I was especially pleased with the thought that my child will remain in a five point harness up to 65 lbs. That is comforting knowing that most convertibles go to 40 lbs and then a child is transitioned into a booster that only has a shoulder lap belt combo. I shopped around online and found babies r us to have a good selection but made my purchase at traveling tikes an online store. Their store offered free shipping and no sales tax as mentioned by a parent at babies r us online kids review. I can can now rest assured that I made my purchase with safety confidence in mind.",2/12/2006,1.0,1.0,A37787I8C184FW,B0006HBRXQ,5.0,0.0,588087.0,34.0,Fantastic Car Seat!,0.0,1,1827,Britax,269.99,Britax Ashley Floral Marathon CV Car Seat,Brand->Britax Child Safety Inc.,BatteriesIncluded->0,EAN->0652182051648,Binding->Baby Product,Feature->For children 5 to 33 lbs. rear facing and from 1 year and 20 to 65 lbs forward facing,Manufacturer->Britax,ManufacturerMaximumAge->48,MaximumWeightRecommendation->6500,MPN->E9L0632,NumberOfItems->1,PackageDimensions,ProductGroup->Baby Product,Publisher->Britax,Studio->Britax,Title->Britax Ashley Floral Marathon CV Car Seat,UPC->652182051648,Feature->Four different harness positions are designed to accommodate taller children,Feature->Five-point harness and 2-position seat recline,ItemDimensions,Label->Britax,ListPrice
"A Norton AV user for years, the upgrade to 2005 made sense.  Actually bought a 3-user package for my household's 3 PCs.  On 2 PCs, it slowed the PCs down considerably and causes system crashes on one. On the 3rd PC, it installed and activated fine, but the subscription expired (actually a previous version's subscription expired, not the current one, but it did not know that).  Re-installation did not work - activation of the software told me that the CD KEY is invalid (after long, long waits for the activation to run).  Symantec online diagnostics did not help.  Tech support performed an ""over the phone"" activation.  A few days later, the software said its trial period has ended and ceased to work.  Tech support (again) told me they would email me instructions that would definitely restore the software and 1 year subscription.  They never sent the email. Ultimately, I purchased another brand of AntiVirus software and will be asking for some money back from Norton (although I know that they will tell me I have to go back to the store I bought it from - too late for that). In summary, Notron 2005's performance reminds me of, well, like a virus on my PCs.  They've lost a long-time customer.  Do yourself a favor...DON'T BUY IT.",5/5/2005,0.0,0.0,A3A822XH7S69IE,B0002UCJV6,1.0,1.0,602755.0,65.0,"Waste Of Money, Terrible Support",0.0,1,867,Symantec,49.99,Norton AntiVirus 2005 [Old Version],EAN->0037648246255,Binding->CD-ROM,"Feature->Removes viruses, worms, and Trojan horses automatically",Brand->Symantec,Feature->Internet Worm Protection blocks certain more sophisticated worms,ListPrice,Manufacturer->Symantec,Model->10283759,PackageDimensions,Platform->Windows 98,Platform->Windows 2000,Platform->Windows XP,Platform->Windows Me,ProductGroup->Software,Publisher->Symantec,ReleaseDate->2004-08-27,Feature->Detects spyware and other non-virus threats,Feature->QuickScan and PreInstall Scan; enhanced packer support,Feature->Defends against malicious code; easy to use,Format->CD-ROM,Label->Symantec
"Anyone considering purchasing this or any Archos product should be aware that based on my experience (4 Archos jukeboxes) their quality control is spotty at best. This used to be bearable because they used to have a fairly liberal warranty policy and would repair or exchange defective products no questions asked. That has changed. Now you have to go through an elaborate process of providing documentation of purchase, mailing the unit back at your own expense, insured, and waiting in silence while they decide what to do. In my case the little joystick that is the key control of the AV320 fell off. When I returned the unit to them for repair (they would not simply send me the part) they decided to keep the 80 gb hard drive I had installed in my AV320. Because they claim installing the drive voided the warranty they now say that they will not return MY drive to me unless I pay them $125 for the repair. Won't take back the replacement they sent me, won't send me a replacement part, won't give me my property back. Worst customer service I've ever seen. I think it would be a serious mistake to buy anything from them.",12/28/2004,12.0,5.0,A34NX36WRE3Q3G,B0002U0JPE,1.0,1.0,603321.0,5.0,Cool Product -Horrible Customer Support,0.0,1,21838,Archos,299.99,Archos Gmini 400 20 GB Digital Audio/Video Jukebox,"Brand->Archos, Inc.",BatteriesIncluded->1,Color->Silver,Binding->Electronics,EAN->0690590506374,IsAutographed->0,IsFragile->0,IsMemorabilia->0,ItemDimensions,Label->Archos,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Archos,Model->500637,MPN->500637,NumberOfItems->1,Feature->Archos 500637 Gmini 400 20 GB Digital Audio/Video Jukebox,Feature->Hard drive-based digital audio and video player and gaming device,Feature->20 GB hard drive stores up to 300 hours of music,Feature->Play MPEG4 video back on the 2.2-inch LCD or connect to a TV,Feature->Built-in CompactFlash slot
"Apple is, quite simply, the best and most innovative computer manufacturer. A recent user survey in PC magazine identified Apple computers as the most reliable and easiest to use computers currently available and last year Apple's Power Macintosh G5 was designated computer of the year. Now the powerful 64-bit G5 processor is available in an elegant new iMac design. Yes, most people use Windows-based PCs, but do you want to be just another member of the PC herd -- with all of the problems and frustrations presented by Windows-based PCs -- or are you looking for a computer which is user friendly, seldom crashes, and is virtually impervious to virus attacks? If these virtues are more important to you than being one of the crowd, please seriously consider buying an Apple computer. The new iMac G5 is Apple's latest iteration of the innovative iMac series of compact, user friendly computers at reasonable prices. Like all G5-powered Apple computers this new iMac is a very fast computer -- more than twice as fast as a Pentium 4 with the same clock speed -- and has a state-of-the-art 64-bit processor. All computers will have 64-bit processors some day but very few PCs, except for Apple G5s, have them at this time. If you're looking for a fast, versatile, easy to use computer (and want to stop worrying abut virus attacks) and are willing to try something off the beaten path, you'll love this elegant new iMac G5. If you want a larger screen and hard drive, consider the iMac G5 with  20 inch screen.",9/15/2004,21.0,17.0,A1JWSDDIH5Z7DV,B0002OG6OI,5.0,1.0,605612.0,15.0,"Powerful, elegant new iMac with Superdrive.",0.0,1,288,Apple Computer,1100.0,"Apple iMac G5 Desktop with 17"" M9249LL/A (1.80 GHz PowerPC G5, 256 MB RAM, 80 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->1.8,"Feature->17-inch widescreen TFT active-matrix LCD, 1440 x 900 pixels","Feature->Two FireWire 400 ports; three USB 2.0 ports, two USB 1.1 ports (on keyboard); VGA output; S-video and composite video output",Feature->Built-in 10/100BASE-T Ethernet and 56K V.92 modem,FloppyDiskDriveDescription->None,GraphicsCardInterface->AGP,GraphicsDescription->NVIDIA GeForce FX 5200 Ultra,GraphicsMemorySize->64,HardDiskSize->80,"IncludedSoftware->Mac OS X version 10. 3 includes Classic environment, Mail, iChat AV, Safari, Sherlock, Address Book, QuickTime, iSync, iCal, iLife (includes iTunes, iPhoto, iMovie, iDVD and GarageBand), AppleWorks, Quicken 2004 for Mac, World Book 2004 Edition, Nanosaur 2, Marble Blast Gold, Microsoft Office 2004 for Mac Test Drive and Apple Hardware Test",KeyboardDescription->Apple Keyboard,Label->Apple Computer,CPUType->PowerPC G5,DisplaySize->17,EAN->0718908519059,"Feature->1.8 GHz PowerPC G5 running Mac OS X version 10.3 ""Panther""","Feature->256 MB DDR SDRAM, 80 GB hard drive, SuperDrive (DVD-R/CD-RW)"
"As an engineer, consultant, businessman, and educator- pramatism (bang per buck) absolutely rules. No question- having suffered dozens of daily crashes with the latest PCs and Microsoft software, hundreds of OS updates, crippled unreliable Dell and IBM laptops (yet working in aerospace, space and formula one)- I am so P**sed off with the quality (lack thereof) in IT (17 years worth!)....Count the hours wasted and dollars spent on software... To the new Apple- within 5 minutes it was connected to the Internet, talking with all the printers, scanners, faxes, gamespads, videocams without any hitch whatsoever (REAL WOW). OK so OSX looks scary- 30 minutes to get used to without even looking at the straightfoward manual. Appleworks free office suite reads all my papers and articles without a glitch even though they were written (and crashed) in MS Office. Some software updates- quick with a disk optimiser automatically (no fragmented disks..). Speedwise an iMac G5 1.6/ 512MB RAM/160 GB HD/17 screen boots up and feels about 3 x faster than a Dell Inspiron Laptop/Pentium 4 1.6/512MB RAM/30GB HD/16VRAM/15 Screen. Never mind the cool factor or that an equivalent Dell costs more.. I even have to move my head from side to side as the screen is so big! Moans- more power would be great (e.g. better graphics card options, dual processor option) but in reality the iMac is such such a marvel of industrial design in the true sense, doesn/t crash all day, and works very effectively at a great price. BTW I did a factory 1 slot 512MB option so that could 3rd party upgrade another 512 more cost effectively- but am told that the 2 slots do not need to match in size. Overall- a real winner- My *New* Dell laptop has become a paperweight holding a cable! UPDATE (a few days later)- everyone who has seen and used the new iMac wants one; I *want to* use the computer (fun!) rather than dread it (Windows); think that office productivity - languishing despite vast IT investments- may rebound if coporations were brave enough to invest in one of these for all staffers... (not one crash in 40 hours use- a record!!!). BTW may start to put in some industrial strength engineering modelling apps soon (with a second new Mac- a Dual PowerMac 3GHz when it comes)... UPDATE 2- another 512MBRAM (to 1GB pair); big hardware boost for graphics: Numbers: CINEBENCH 2003-rendering 1 cpu- 170; graphics C4D shading 204; OpenGL SW-L 529; OpenGL HW-l 928; Speedup 4.59 XBENCH Results 146.68 Hard not to smile with this computer- no crashes, virtualPC for Win apps, no viruses- soon m$ free ..",9/24/2004,36.0,35.0,A3NBP6SJO0BSRU,B0002OG6OI,5.0,0.0,605622.0,25.0,Using a 1.6iMac G5 for a week- FANTASTIC!,0.0,1,288,Apple Computer,1100.0,"Apple iMac G5 Desktop with 17"" M9249LL/A (1.80 GHz PowerPC G5, 256 MB RAM, 80 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->1.8,"Feature->17-inch widescreen TFT active-matrix LCD, 1440 x 900 pixels","Feature->Two FireWire 400 ports; three USB 2.0 ports, two USB 1.1 ports (on keyboard); VGA output; S-video and composite video output",Feature->Built-in 10/100BASE-T Ethernet and 56K V.92 modem,FloppyDiskDriveDescription->None,GraphicsCardInterface->AGP,GraphicsDescription->NVIDIA GeForce FX 5200 Ultra,GraphicsMemorySize->64,HardDiskSize->80,"IncludedSoftware->Mac OS X version 10. 3 includes Classic environment, Mail, iChat AV, Safari, Sherlock, Address Book, QuickTime, iSync, iCal, iLife (includes iTunes, iPhoto, iMovie, iDVD and GarageBand), AppleWorks, Quicken 2004 for Mac, World Book 2004 Edition, Nanosaur 2, Marble Blast Gold, Microsoft Office 2004 for Mac Test Drive and Apple Hardware Test",KeyboardDescription->Apple Keyboard,Label->Apple Computer,CPUType->PowerPC G5,DisplaySize->17,EAN->0718908519059,"Feature->1.8 GHz PowerPC G5 running Mac OS X version 10.3 ""Panther""","Feature->256 MB DDR SDRAM, 80 GB hard drive, SuperDrive (DVD-R/CD-RW)"
"After I reviewed the review from other users, I can see that some users have problems on using this media but no one has provide any solution to resolve that.  Since I have no problem on using this media with my Sony DW-D26A DVD burner, I would like to share some of my experience with others. Both my Panasonic and Toshiba DVD player do not support DVD+R format.  After reading an article about changing booktype bitsettings, I tried to use K-probe v.2.4.2 (freeware)along with Nero 6.6.0.8, I was even able to change the booktype setting and made this disc read on my DVD player as DVD-ROM, not DVD+R. Both my DVD players played the disc fine. I even tried these burnt disc on a few of my friends DVD players such as Apex, Sony and JVC and the playback was flawless. I do not have any problem on burning these discs at 8x speed with my Sony DW-D26A.  My friend borrowed a few of this blank discs from me to backup some of his home movies on his older model Sony DW-D22A and he was able to burn it at 8x speed as well. A suggestion to other users with old model of DVD burner that you may have to check the official site of your DVD burner to get the up-to-date patch since the latest firmware can improve the writing strategy of the DVD burner and it enables your burner to accept more different brand of DVD disc.  :-) If some of you would like to find out more about changing booktype bitsetting, you can check out this link to find out whether your DVD burner would support this technology or not. http://www.k-probe.com",4/19/2005,9.0,7.0,A2YQS8DFQ7NUUU,B0002KQRB4,4.0,0.0,609306.0,39.0,"Good media, if you know what you are doing.",0.0,1,12120,Velocity,62.99,"Velocity DVD+R 4.7GB, 8x  (100-pack Spindle) Best Value",EAN->0780269141101,Binding->Electronics,"Feature->Silver, printable top surface",Brand->Velocity,"Feature->Records at 2.4x to 8x, backwards compatible with existing DVD-ROM drives and DVD players",Manufacturer->Velocity,Model->14110,MPN->14110,PackageDimensions,ProductGroup->CE,Publisher->Velocity,Studio->Velocity,"Title->Velocity DVD+R 4.7GB, 8x  (100-pack Spindle) Best Value",UPC->780269141101,,,"Feature->120 min, 4.7 GB capacity",Feature->Uses superb premium organic dye that ensures stable burning,Feature->Long archival and storage life,Label->Velocity,ListPrice
Adobe Premiere  is far from the most advanced non-linear video editing package you can get however let me make this one comment. - Editing is all about cutting and not fancy effects. The strength of the project is what is in front of and behind the camera not fancy effects. I would never recommend using any of the effects on any of the non-linear video editing packages anyway. Get dedicated effects packages if you really want to do your special effects well. In short Adobe Premiere is the BEST cutting software and the EASIEST to use. The learning curve is slightly steep but you will be cutting your footage within a day or two with this one. An editor cuts and arranges media. Adobe Premiere does that perfectly. I recommend this like no other for the price but if you are looking for pro packages then go elsewhere and be prepared to pay five figures with extra hardware. If you want special FX this has some but no pro uses these effects tool. Premiere is a first class cutting tool. Go to Discreet products for FX.,11/8/2004,20.0,19.0,AD0J5KK4WQXNS,B00021XIZQ,5.0,0.0,620932.0,7.0,Solid Cutting,0.0,1,3536,Adobe,749.99,Adobe Premiere Pro 1.5,EAN->0718659364809,Binding->CD-ROM,Feature->Auto-color adjustment improves image quality with Photoshop-style filters,Brand->Adobe,"Feature->Bezier keyframe controls for natural, elegant-looking effects with spline-based tools",IsMemorabilia->0,ItemDimensions,Label->Adobe,ListPrice,Manufacturer->Adobe,Model->25520152,MPN->ADOB2,PackageDimensions,Platform->Windows XP,ProductGroup->Software,Publisher->Adobe,"Feature->Meet professional production standards with support for importing, editing, and delivering HD content","Feature->Access plug-ins directly from After Effects or within Premiere Pro, for outstanding visual effects",Feature->Simple clipboard tools let you copy & paste between Adobe Premiere Pro and After Effects,Format->CD-ROM,IsAutographed->0
"After having a Memorex mp3 player die on me in the 4th month, I read a lot of reviews and the Muvo series seemed to get top marks for performance and reliability.  The Muvo Slim even got the top recommendation from a prestigious Consumer technology-review site.  One of the best things about it is the lithium ion rechargeable battery, which even recharges quickly through the USB port.  I went through a lot of batteries before.  Even if your mp3 player gets 10 hours on one battery, if you work out or walk to the bus stop every day, that can mean 1 battery per week -- that starts adding up quickly, believe me! I ended up going for the Muvo Micro instead, but that's only because it has an arm band, and I go running.  I actually like the credit card shape of the Slim better, and it fits excellently in a top pocket.  But I finally got my hands on one in person, and I noticed that the nice leather case doesn't have a place for a belt clip or strap, so even if I had created my own arm strap, there was no place to guide it through. Hope this helps someone else who was thinking the same thing.",11/30/2004,32.0,30.0,A3SF2N0BJF0YJS,B0001UEHJY,4.0,1.0,624323.0,49.0,Snazzy top pocket mp3 player,0.0,1,17392,Creative Labs,99.99,Creative MuVo Slim 256 MB MP3 Player Black,EAN->0054651069947,Binding->Electronics,Feature->256 MB holds up to 8 hours WMA or 4 hours MP3 music,Brand->Creative Labs,Feature->Super Fast USB 2.0 transfers music and data up to 40x faster than USB 1.1,ItemDimensions,Label->Creative Labs,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Creative Labs,Model->70PD054200000,MPN->70PD054200000,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Creative Labs,Feature->Built-in FM and FM recorder with 32 presets,Feature->Built-in microphone for easy voice recording,"Feature->Compatible with Windows 98SE, 2000, Me, and XP",IsAutographed->0,IsMemorabilia->0
"Although I'm a registered user and LaCie has my e-mail address, they did NOT notify me that the drive is not compatible with Win XP SP2 -- I had to find out the hard way.  I have to return the drive in order for them to upgrade the firmware (their field upgrade failed on three different machines), and they won't do a swap where they send me a replacement first -- so I have to find a way to back this whole thing up before I return it.  A big pain that they could have avoided with a single, simple e-mail -- but they don't do this as a matter of policy (per their support staff).  Ugh.  Thanks for nothing, LaCie.",9/8/2004,49.0,44.0,A4NMP5G16Z8SL,B0001PFO5U,3.0,0.0,624761.0,27.0,"Chokes on Win XP SP2, customer service is lacking",0.0,1,28157,Lacie,750.04,LaCie 500 GB FireWire Big Disk Extreme External Hard Drive (300871),EAN->0093053606886,Binding->Electronics,Feature->Large storage capacity,Brand->LaCie,Feature->Transfer rates of up to 50 percent faster than first-generation FireWire 800 drives,ItemDimensions,Label->Lacie,ListPrice,Manufacturer->Lacie,Model->300871,MPN->300871,PackageDimensions,ProductGroup->CE,Publisher->Lacie,Studio->Lacie,Title->LaCie 500 GB FireWire Big Disk Extreme External Hard Drive (300871),Feature->Maximum data throughput using FireWire 800,"Feature->Ideal for video editing, video RAID and 2D/3D imaging",HardDiskSize->500,IsAutographed->0,IsMemorabilia->0
"As my child was due in late February and we live in Germany, which has what I consider (as a child of the Dakotas)a mild climate, I was undecided whether I needed Bundle me or Bundle me lite. I decided to get both and was glad I did as my daughter was born in late January instead in the middle of the one of the coldest spells since we've been here. I was also thrilled to discover that the bundle me and the bundle me lite have compatible zippers, so you can zip the warmer bundle me top on the cooler and less thick bundle me lite bottom, which is how we've been using it. She stays warm and comfy in our cold car and on our daily trips outside to pick up her big brother at school. I haven't had any of the mentioned problems at this point, and would consider it worth it's weight in gold to avoid the jacket/snowsuit battle, esp when they are not supposed to wear those items in the car seat. I can see no safety problem in using it as both items are no thicker than a light jacket that you would have to have on as a minimum on baby in this weather and then you would still have to be taking them baby and putting her back in the car seat every time you wanted to enter and leave the car to put on the necessary warmer clothes. A brilliant idea!",2/3/2006,2.0,2.0,AHK2LVXXJ5HZU,B0001CJ9YK,5.0,0.0,630517.0,8.0,"Great, versatile product",0.0,1,2774,JJ Cole Collections,19.95,Navy Lite Bundle Me - 0-12 months,Binding->Baby Product,AmazonMaximumAge->12,Brand->JJ Cole Collections,BatteriesIncluded->0,EAN->0614002215005,ItemDimensions,Label->JJ Cole Collections,ListPrice,Manufacturer->JJ Cole Collections,ManufacturerMaximumAge->12,MaximumWeightRecommendation->2100,NumberOfItems->1,ProductGroup->Baby Product,Publisher->JJ Cole Collections,Studio->JJ Cole Collections,Title->Navy Lite Bundle Me - 0-12 months,Feature->Rich soft inner lining and a weather-resistant nylon exterior,Feature->Fresh designer stitching that adds style and appeal,"Feature->Protects against sun, wind and rain",Feature->Eliminates need for blankets and jackets,Feature->Transfers easily from car seat to stroller
"As my child was due in late February and we live in Germany, which has what I consider (as a child of the Dakotas)a mild climate, I was undecided whether I needed Bundle me or Bundle me lite.  I decided to get both and was glad I did as my daughter was born in late January instead in the middle of the one of the coldest spells since we've been here.  I was also thrilled to discover that the bundle me and the bundle me lite have compatible zippers, so you can zip the warmer bundle me top on the cooler and less thick bundle me lite bottom, which is how we've been using it.  She stays warm and comfy in our cold car and on our daily trips outside to pick up her big brother at school.  I haven't had any of the mentioned problems at this point, and would consider it worth it's weight in gold to avoid the jacket/snowsuit battle, esp when they are not supposed to wear those items in the car seat.  I can see no safety problem in using it as both items are no thicker than a light jacket that you would have to have on as a minimum on baby in this weather and then you would still have to be taking them baby and putting her back in the car seat every time you wanted to enter and leave the car to put on the necessary warmer clothes.  A brilliant idea!",2/2/2006,6.0,6.0,AHK2LVXXJ5HZU,B0001CJ9XQ,5.0,0.0,630877.0,352.0,"Great, versatile product",0.0,1,184,JJ Cole,37.99,Original Bundleme Khaki,Feature->Eliminates need for blankets and jackets,Binding->Baby Product,Feature->Removable top for easy temperature control,Brand->JJ Cole,Feature->Machine washable.,ProductGroup->Baby Product,Publisher->JJ Cole,ReleaseDate->2006-06-12,Studio->JJ Cole,Title->Original Bundleme Khaki,UPC->614002110003,,,,,,Feature->0-12 Months,Label->JJ Cole,Manufacturer->JJ Cole,Model->KOBM,PackageDimensions
