Body,Label,Title_Product
"After some careful research, I bought this product and was pretty satisfied.  The buttons are complicated and it isn't straightforward, but after reading the manual - I pretty much grasped it.  It comes with a 90 day warranty which is great until you read the fine print.  It will cost you more in shipping than it is to buy a new one.  Mine worked for 120 days and then the speaker component died.  Still keeps time.  No sound.  Imagine my dismay when I overslept after buying a new alarm clock.  This is a poor choice and poorly made.  Spend a few extra bucks for something else.  By the way, this isn't Timex, it is a rebranded SDI technologies alarm clock.",0,Timex T309T Alarm Clock Radio with Nature Sounds (Titanium)
"After so many months of use, I could say this router is right on the money. I had to restart it maybe once a month or less, though the root cause might have been the DSL modem. It's been working well in a mixed environment--different OSes, card adapters, etc.. For those of you who have PPPoE networks, this router works indeed very well (INSTALL INCLUDED). Get as fast as you can to the web interface and drive things from there--security, firmware updates, monitoring, etc. And now, a word of caution: do not trust 100% the built-in firewall. There have indeed been 5 or 6 attacks, over 9 months of use, detected by the software firewall I kept. So, to address this issue, keep all firewalls running and up to date. As for the price, people around speak of all kinds of coupons/rebates. Unless you have the option to wait, get it right away and see the difference!",0,Belkin F5D52314 4-Port Cable/DSL Router
"Prior to buying this product, we were using 2 different wireless phone systems so we its a pain to transfer calls, maintain phone numbers, caller IDs, etc. We needed to replace it with one phone system that can accommodate at least 4 handsets so 2 years ago we bought the Uniden DCT646-4 expandable wireless set.  Here are my thoughts on this phone: * Setup was not quick as each handset needs to be configured but it was relatively smooth and straightforward.  Once you know how to configure one handset, the rest are mechanical. * I have had handsets with better call quality but also had some that are worse, so this phone is probably average when it comes to call quality.  Its clear enough for me and the person on the other line so it works. * Each handset can be identified by name so I thought that was a nice feature.  If I needed somebody, I know which handset to call/page to get to the right person or room. * The voicemail button setup can be a bit cumbersome when you change providers and voice mail access numbers (like we did) as each handset needs to be configured.  I don't know how many people have different voice mails for the same line but this should have been one global (propagating to all handsets) setup or at least an option to have it configured as such. * The caller ID is useful to screen out callers but unfortunately there is no way to just ignore the call and stop the ringing for all handsets all at once.  You can press ""End"" on one handset but only that one stops ringing.  The rest will keep on ringing until the voicemail system takes over.  This was especially irritating when our youngest was still a baby and we forgot to take the handset out of the room he's sleeping in or when there are visitors in the house.  There should be one button to just ignore the call and send it to the voicemail. All in all, there are things I would want improved on this system but for the price and features this Uniden system is a great value.",0,"Uniden DCT646-4 Digital 2.4 GHz expandable Cordless system, call waiting/ caller ID and accessory handset and charger"
"We have a 97 Jeep Cherokee and the black vinyl wheel surround (not sure of the term) had faded terribly, they were almost a whitish grey. We applied about 3 coats of this product (it goes on easily with the applicator bottle it comes with). The first coat was splotchy because the vinyl soaked up the stuff. Then, by the 2nd and 3rd coat, it was becoming more of an even coat. Whalaa, I cannot believe the difference. I will try to post before and after pictures. It has made a huge difference in how the vehicle looks, and now we will see how it holds up over time. We had enough to do three coats around all four wheels. There seems to be enough in the bottle to repeat another treatment if necessary in the future. I would recommend this product.",0,Forever Black Bumper & Trim Cleaner & Reconditioner Kit
"I have listened to the hype about TIVO for a couple of years now.  With the hundred dollar plus rebates on the hardware, as well as substantial discounts on the service, I thought I'd break down and give it a try.  Here' my experience... The Good... 1. Very intuitive user interface for the set-up screens and remote; it could be argued that Tivo is the gold standard for ease of use 2. Very secure packaging of unit 3. Included cabling is of unusally high quality (not Monster cable grade, but still very good for included cabling) 4. Installation directions are very easy to follow (though not as good as Dell's color coded design) 5. There is a 30 day money back guarantee 6. Customer reps are friendly and well trained (and they speak english too!) The Bad... 1. The front of the box says all required cables are included; the directions state that a second A/V cable -- required for the recommended installation method -- is ""user provided"" (i.e., sold separately) 2. The service is not compatible with some VoIP services 3. Though set-up is easy, it is a one to two hour ordeal, requiring multiple visits to websites and countless button presses to ensure interoperablity with the cable box 4. The remote is pretty low tech looking; it also has a lower quality feel tha leads me to belive that I'll be shopping for a replacement in a year or less The Ugly... 1. They try to get you to sign up for a three year, pre-paid service contract; if after 30 days you find that you don't like/need Tivo, you forteit all that money -- ouch! 2. When I attempted to use the website to activate the service, the site was unstable and wouldn't allow me to complete the order.  I then called the 800 number for service, where the hold time exceed 25 minutes.  Hope I never have cause to call again as this is a totally unacceptable wait time Net/net: this is a well thought out product that does just what it says it does -- enables consumers to watch TV on their terms.",0,TiVo TCD649080 Series2 80 Hour Dual Tuner Digital Video Recorder
"I've been using the Sansa e260 for about a month and it has worked flawlessly. It integrates easily Windows XP and I load most files to it using Windows Explorer. The Sansa firmware utility updated the unit just fine, just plug the unit into the USB port and it happens automatically. Charging of the battery is very slow using the USB port it works much better either with a car or AC charger. Sound quality is very good and as long as you volume level your MP3's before loading them into the Sansa the db levels are constant. Navigation is a snap with the wheel and the other controls, very easy to learn. Overall I am completely satisfied with this product.",0,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot
"I had been using an iRiver h10 for a little under a year and it died a horrible firmware death that was unrepairable, so I got this unit as its replacement. Let's clear up one thing up front:  THIS UNIT DOES NOT SUPPORT MP3's ABOVE 256KBPS.  SanDisk does not acknowledge this or post this as a part of the product, but their tech support will admit it if you call them about it.  The 256kbps cap isn't  asuggestion -- the unit will choke and stutter badly on anything higher bitrate.  So just know that ahead of time that you'll have to convert your MP3's down to 256kbps at least before you can use them on it, and plan accoridngly.  For me it was an annoying oversight (especially since my old iRiver H10 happily played 320kbps files), but not a really big deal because with a half-hour of work I could convert my 320kbps files down to 256kbps and transfer them over for use. All that aside, it's a great little player with a very nice display for its size and value.  The sound is good, controls and UI are solid, and the battery life is fanatstic (2 more hours batt. life than a Nano).  Its 4GB of storage is a solid capacity and value. The playlist plays through a number randomize function, which is a GOOD thing.  Each song is assigned a number, and when a randome number is chosen the corresponding song plays.  This is nice for one reason -- if you change the contents of the drive while it's paused, the device won't choke when it tries to resume a file that's no longer there.  Instead it will play whatever file has that same number now, or skip ahead to a new number if that number simply no longer exists.  It's a very small thing in the grand scheme of things, but a big annoyance that it prevents and I've seen other players not be abel to handle such a simple scenario. One other downside I found was the media conversion tool to import photos and video (since this unit plays video).  On the video side it unfortunately converts to QuickTime, which is IMHO an absolutely terrible video format that results in bloated movie size on the device (80 MB video files become ~160 MB after conversion).  However it converted over my little DivX movies with almost no hitch.  And the screen is small for video, but not entirely unwatchable.  I personally still find it more novelty than useful though, but it deifnitely works as well as it can. On top of it all, it also offers MicroSD expansion, and a rather nice FM Tuner -- neither of which an iPod can boast. So if you don't want to be an iSheep, and you don't need iTunes or similar music management software to help manage your device and are happy with Windows Explorer copy-n-paste to move your media on, this really is a very nice little player for its price.  I have to say I enjoy it a lot and would definitely recommend it, especially to anyone specifically trying to avoid Apple's iPod empire.  IMHO it not only matches them, but beats them in many areas.",0,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot
"The iPod is better, more popular, and more compatible.  Why go against the grain.  Do the right thing and go Apple.",2,Creative Zen Micro 6 GB MP3 Player Silver
"Where does apple think they are getting off with this product.  150 dollars for a 1 gb player, that doesnt even allow you to see what is comming up next on your playlist?  For 150 dollars you can buy a 15gb player from dell, with a backlit screen, nice interface, and wow, it shuffles too! I am a fan of the ipod, and I have nothing against apple, but this is proposterous.  They are actually advertising and using the fact that you don't know what you are going to hear next as a selling point.  Oh, the revolution of shuffle. Granted, this is a product oriented for people looking for a non hard drive/ flash based player, but in the end, it's just another way for apple to grab your money.  But, if you are a mac user, you probably have tons of money anyhow.",2,Apple 1 GB iPod Shuffle
Some much better out there... Suprisingly over priced for what you get.,3,Apple 1 GB iPod Shuffle
Get an Ipod.  I've tried 2 Sansa MP3 players and they both quit working after 6 months.,2,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot
"Lets start by saying i have had scandisk products before, and they were a pretty good product. This particular product is by far the lowest quality lowest recomended, lowest bidder built piece of garbage that i have ever owned. For the same general price point, i would recomend the coby, or spend the extra money and get a zune. i had a n ipod nano, and if it werent for itunes, i would have kept it. it is slow, cumbersome to navigate, and the sound quality is poor. (compared to the ipod, coby, and zune)i DO NOT recomend this to anyone.",2,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot
"What appeared to be a simpler, less expensive way to go MP3 was a complete dissappointment.  After only 2 weeks the player overloaded and froze up on me, and it was truly a great big MP3 flop.  Stay with the brand you know, buy an iPod and don't buy any other MP3 player.  OK, Sony makes a few worth having, but Apple, rules.  Rock on...",2,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot
"I waited and waited for this item.  One email said it was sent, another said it was canceled and after that, another email said I should have received it by now.  Finally after a long time, I received an email saying it was out of stock.  I am very confused with all the different emails.   I was very disappointed in this company.",3,Chicco Travel Seat - Explorer
"Trunc, Course Overview This curriculum introduces learners to enterprise computing and to the Java 2 Platform, Enterprise Edition. It also teaches how to design enterprise-level, N tier Java Applications and the basics about client development, including client-side programming and using the Java Naming Directory Interface (JNDI). Additional topics covered are Web and server-side development, how to use RMI and JDBC, the design and development of Enterprise Java Beans, and lastly the function and purpose of entity beans, container-managed and bean-managed persistence, EJB transactions, and deployment issues, including packaging and assembling EJBs. # This curriculum consists of five courses: Course 86021 Java 2 Enterprise Connectivity Part 1: Architecture and Client Development # Course 86022 Java 2 Enterprise Connectivity Part 2: Java Server Pages and Servlets # Course 86023 Java 2 Enterprise Connectivity Part 3: RMI and JDBC # Course 86024 Java 2 Enterprise Connectivity Part 4: EJB Architecture, Session Beans, and Security # Course 86025 Java 2 Enterprise Connectivity Part 5: Entity Beans, EJB Transactions and Deployment Learn To See individual course descriptions for specific course objectives and scope. Audience The targeted audiences for this curriculum are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits Per Course CEU credits: 3.50 CEUs Language Options US English Total Learning Time 30 to 40 hours Java 2 Enterprise Connectivity Part 1: Architecture and Client Development Training CD Course Overview This first course in the series provides the foundation for the rest of the course series. It introduces learners to enterprise computing and to the Java 2 Platform, Enterprise Edition. It also teaches how to design enterprise-level, N tier Java Applications and the basics about client development, including client-side programming and using the Java Naming Directory Interface (JNDI). Learn To # Identify distributed computing systems. # Identify the benefits of enterprise computing, and the technologies used to create enterprise applications. # Identify the information about the J2EE platform. # Identify the multitier application model that is supported by J2EE. Audience The targeted audiences for this course are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: Distributed and Enterprise Computing 3 - 4 hours # Match the application model architecture with the situation in which it is implemented. # Identify the benefits of distributed computing in a specific situation. # Identify the strategies that conform to the guidelines for designing a distributed computing system in the specified situation. # Evaluate tradeoffs in designing distributed computing systems. # Identify the benefits of enterprise computing in a specific situation. # Identify the technology that is used to create an enterprise application in a specific situation. Unit 2: J2EE 3 - 4 hours # Identify the benefits of implementing J2EE in a specific situation. # Identify the J2EE platform role that provides a solution in a specific situation. # Select the J2EE component technology that provides the specified functionality in a given situation. # Match each J2EE service technology with its function in a specific situation. # Match the communication technology that enables information flow between components with the specified components in a J2EE application. # Select the reason for implementing a Web-centric or EJB-centric design pattern in a specific situation. # Select the appropriate application design that can be used to create a J2EE application in a specific situation. # Identify the change to be made in a specific tier to optimize the functionality of a J2EE application in a specified situation. # Analyze a specific situation to identify the J2EE client-programming issues that need to be considered in the situation. # Identify the JNDI code that creates the required initial context. # Identify the JNDI code that performs the specified directory operation. # Identify the NamingShell application code that performs the specified directory operation. Java 2 Enterprise Connectivity Part 2: Java Server Pages and Servlets Training CD Course Overview This second course in the series teaches about Web and server-side development. It introduces the current server-side Java technologies used in Web Application Development and explains the client and server Interaction. It teaches how to create Java Server Pages and servlets and distinguishes their responsibilities. It also covers the servlet life cycle and session tracking. Learn To # Identify the basics of server-side applications and the advantages and creation of JSP. # Identify how to create and invoke a servlet and track a client session by using sessions and cookies. Audience The target audiences for this course are System Administrators, Application Developers, System Analysts, Software Engineers and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: Web Application Development: JSP 3 - 4 hours # Match the methods of HTTP with the functionality they provide in a specific scenario. # Identify the server-side technology to be used in a specific situation. # Assign responsibilities to the EJBs, servlets, and JSP pages in an application. # Identify the advantages of using JSP instead of other technologies in a specific situation. # Complete the JSP page code to generate dynamic Web content. # Identify the attributes of a JSP directive to be used in a specific situation. # Identify the piece of code that correctly uses predefined variables in a specific situation. Unit 2: Web Application Development: Servlets 3 - 4 hours # Identify the situations in which it is advantageous to use a servlet instead of a CGI application. # Match the methods in the servlet life cycle with the situations in which these are used. # Complete the code for creating a servlet by using the javax.servlet package. # Complete the code for creating a servlet by using the javax.servlet.http package. # Invoke a servlet by adding the servlet in a servlet chain. # Complete the code that uses SSI to invoke a servlet. # Complete the code for creating a servlet that handles form data by using the getParameter() method. # Identify the code for implementing a threadsafe servlet in a specific situation. # Identify the code for implementing background processing for a specific activity in a servlet. # Select a code snippet for implementing a specified error-handling mechanism in a servlet. # Identify the session tracking technique that can be used in a specific scenario. # Identify th",3,Java Enterprise Connectivity Curriculum CBT Training CDs
"I pre-ordered this item, but now when i look at ""My Account"" the order is not listed.  Apparently, Amazon has cancelled my order without even notifying me.  I didn't even receive an e-mail.",3,"SanDisk 4 GB Ultra II Memory Stick PRO Duo (SDMSPDH-4096-901, Retail Package)"
"It's an awsome sounding product, believe me. I wish to by it but for some stupid reason they won't ship it to me internationally.",3,Emerson iTone iE600BK Home Audio System (Black)
